ROAD_NAME,ROAD_NAME_INT,Accident_Count,Fatality_Count
FOXES,RIFLE RANGE,1,0.0
FREEMAN,FREEMAN ALT,1,0.0
FRISWELL,DERBY,2,0.0
FURNESS,CANNON,1,0.0
FURNESS,CRUSOE,1,0.0
FURNESS,HIGH,1,0.0
GALLOWAY,DEXTER,1,0.0
GALVIN,WILLIAMSON,2,0.0
GAOL,PARK,1,0.0
GAOL,ROWAN,2,0.0
GAP,HAYES,1,0.0
GARSED,EDWARD,1,0.0
GARSED,MYRTLE,1,0.0
GENARDINIS,DERBY,1,0.0
GILL,NELSON,1,0.0
GIRIS,MILLS,1,0.0
GIRVAN,GIRVANS,1,0.0
GLADSTONE,ADAM,1,0.0
GLADSTONE,PEEL,2,0.0
GLEDHILL,OLYMPIC,1,0.0
GLENCOE,LOWNDES,1,0.0
GLENCOE,ST AIDANS,2,0.0
GOLD ASSOCIATES,MARONG,1,0.0
GOLDEN SQUARE-LONG GULLY,CREETH,1,0.0
GOLDEN SQUARE-LONG GULLY,DERWENT,1,0.0
GOLDEN SQUARE-LONG GULLY,MACKENZIE W,1,0.0
GOLDEN SQUARE-QUARRY HILL,ADAM,1,0.0
GOLDEN SQUARE-QUARRY HILL,PYKE,1,0.0
GOLDIE,HIGH,1,0.0
GOLF COURSE,RACECOURSE,1,0.0
GOLF COURSE,STATION,1,0.0
GOLF COURSE,TAYLOR,4,0.0
GOLF LINKS,KRAUSGRILL,1,0.0
GOLF LINKS,WILLIAMS,1,0.0
GOORNONG-BARNADOWN,AXEDALE-GOORNONG,1,0.0
GOORNONG-BARNADOWN,BELLHOLME,1,0.0
GOORNONG-BARNADOWN,NELSON,1,0.0
GOORNONG-MAYREEF,COLLINS,1,0.0
GOYNES,BOTANICAL,1,0.0
GOYNES,HOWARD,1,0.0
GREEN,HAVILAH,1,0.0
GREEN,NELSON,2,0.0
GRENFELL,FINCH,1,0.0
GRENFELL,HICKS,1,0.0
GUYS HILL,ARUNGA,1,0.0
GUYS HILL,BRENTWOOD,2,1.0
GUYS HILL,PIONEER,1,0.0
GUYS HILL,TANNERY,8,0.0
HAGGAR,WILLAN,1,0.0
HALLAM,SOMERVILLE,1,0.0
HAM,ADELAIDE GULLY,1,0.0
HAM,ALLINGHAM,1,0.0
HAM,COONOOER,2,0.0
HAM,MACDOUGALL,2,0.0
HAMMILL,STANLEY,1,0.0
HAPPY VALLEY,COATH,1,0.0
HAPPY VALLEY,UNION,1,0.0
HARDINGS,PARSONS,1,0.0
HARDYS,OLD BRIDGEWATER,1,0.0
HARDYS,SUNRISE,1,0.0
HARGREAVES,BULL,1,0.0
HARGREAVES,CHAPEL,2,0.0
HARGREAVES,MITCHELL,2,0.0
HARGREAVES,MUNDY,1,0.0
HARGREAVES,MYRTLE,1,0.0
HARGREAVES,NOLAN,3,0.0
HARGREAVES,SHORT,2,0.0
HARGREAVES,THISTLE,2,0.0
HARGREAVES,TRAMWAYS,1,0.0
HARGREAVES,VIOLET,3,0.0
HARGREAVES,WATTLE,3,0.0
HARGREAVES,WILLIAMSON,5,0.0
HARLEY,BUTCHER,2,0.0
HARLEY,GOLDEN,1,0.0
HARPER,BOUNDARY,1,0.0
HARPER,CLAYPIT,1,0.0
HARPER,QUINNS,3,0.0
HARRIS,MAS,1,0.0
HARRIS,WHARTON,1,0.0
HATTAM,BELLE VUE,1,0.0
HATTAM,MACCULLAGH,3,0.0
HATTAM,TUCKER,2,0.0
HATTAM,WOODWARD,3,1.0
HATTAM STREET -OAK,ALLINGHAM,5,0.0
HAVERING,SULLIVANS,1,0.0
HAVILAH,ARMS,1,0.0
HAVILAH,KINROSS,1,0.0
HAVILAH,MORAN,1,0.0
HAVILAH,POULSTON,1,0.0
HAVILAH,QUICK,1,0.0
HAVLIN,ABBOTT,1,0.0
HAVLIN,HOUSTON,1,0.0
HAVLIN,MILLER,1,0.0
HAVLIN,WILLIAMSON,1,0.0
HAYES,JEBB,1,0.0
HEATHCOTE-KYNETON,STONE JUG,1,0.0
HEATHCOTE-NAGAMBIE,BAIGE,1,0.0
HEATHCOTE-NAGAMBIE,FOREST,3,0.0
HEATHCOTE-NAGAMBIE,GREENS,2,0.0
HEATHCOTE-NAGAMBIE,PARFREY,1,0.0
HEATHCOTE-NAGAMBIE,REDBURNS,1,0.0
HEATHCOTE-NAGAMBIE,WARD,1,0.0
HEATHCOTE-NAGAMBIE,WATERS,2,0.0
HEATHCOTE-NORTH COSTERFIELD,BRADLEYS,4,0.0
HEATHCOTE-NORTH COSTERFIELD,HALL,2,0.0
HEATHCOTE-NORTH COSTERFIELD,MT IDA,2,0.0
HEATHCOTE-NORTH COSTERFIELD,PLANTATION,1,0.0
HEATHCOTE-REDESDALE,ADAIRS,1,0.0
HEATHCOTE-REDESDALE,BACK KYNETON,1,0.0
HEATHCOTE-REDESDALE,BURKES,3,0.0
